NAME	TYPE	SMILES
Sodium_oleate_(packaging)	GRAS	CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+]
OLEYL_ALCOHOL	IIG	CCCCCCCC/C=C\CCCCCCCCO
OLEYL_OLEATE	IIG	CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCCCC/C=C\CCCCCCCCC
POLYOXYETHYLENE_ALCOHOLS	IIG	CCCCCCCC/C=C\CCCCCCCCOCCO
OCTYLDODECANOL	IIG	CCCCCCCCCCC(CO)CCCCCCCC
LAUROYL_SARCOSINE	IIG	CCCCCCCCCCCC(=O)N(C)CC(=O)O
SODIUM_LAUROYL_SARCOSINATE	IIG	CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]
LAURIC_DIETHANOLAMIDE	IIG	CCCCCCCCCCCC(=O)N(CCO)CCO
GLYCERYL_LAURATE	IIG	CCCCCCCCCCCC(=O)O.OCC(O)CO
SUCROSE_LAURATE	IIG	CCCCCCCCCCCC(=O)O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
METHYL_LAURATE	IIG	CCCCCCCCCCCC(=O)OC
PROPYLENE_GLYCOL_MONOLAURATE	IIG	CCCCCCCCCCCC(=O)OCC(C)O
PEG-12_GLYCERYL_LAURATE	IIG	CCCCCCCCCCCC(=O)OCC(COCCO)OCCO
SORBITAN_MONOLAURATE	IIG	CCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O
PEG-8_LAURATE	IIG	CCCCCCCCCCCC(=O)OCCO
POLYSORBATE_60	IIG	CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO
LAURALKONIUM_CHLORIDE	IIG	CCCCCCCCCCCC(=O)c1ccc(OCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
LAURYL_SULFATE	IIG	CCCCCCCCCCCC.O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Zn+2]
MYRISTIC_ACID	IIG	CCCCCCCCCCCCCC(=O)O
ISOPROPYL_MYRISTATE	IIG	CCCCCCCCCCCCCC(=O)OC(C)C
TRIMYRISTIN	IIG	CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
1,2-DIMYRISTOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	IIG	CCCCCCCCCCCCCC(=O)OC[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC
PALMITIC_ACID	IIG	CCCCCCCCCCCCCCCC(=O)O
GLYCERYL_PALMITOSTEARATE	IIG	CCCCCCCCCCCCCCCC(=O)O.CCCCCCCCCCCCCCCCCC(=O)O.OCC(O)CO
SUCROSE_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)O.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
ISOPROPYL_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OC(C)C
Vitamin_A_palmitate	GRAS	CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
DIPALMITOYLPHOSPHATIDYLGLYCEROL,_DL-	IIG	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCC
Ascorbyl_palmitate_(palmitoyl_L-ascorbic)	GRAS	CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(O)=C(O)C1=O
SORBITAN_MONOPALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O
POLYOXYL_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OCCO
GLYCERYL_PALMITATE	IIG	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)CO
Aluminum_palmitate_(packaging)	GRAS	CCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCC(=O)[O-].[Al+3]
Sodium_palmitate_(packaging)	GRAS	CCCCCCCCCCCCCCCC(=O)[O-].[Na+]
ETHYLHEXYL_HYDROXYSTEARATE	IIG	CCCCCCCCCCCCCCCCC(O)C(=O)OC(CC)CCCCC
STEARIC_DIETHANOLAMIDE	IIG	CCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO
DIETHYLAMINOETHYL_STEARAMIDE_PHOSPHATE	IIG	CCCCCCCCCCCCCCCCCC(=O)NCCN(CC)CC
STEARAMIDOETHYL_DIETHYLAMINE	IIG	CCCCCCCCCCCCCCCCCC(=O)NCC[NH+](CC)CC.O=P([O-])(O)O
Stearic_acid_(packaging)	GRAS	CCCCCCCCCCCCCCCCCC(=O)O
SUCROSE_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)O.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
STEAROYL_POLYOXYLGLYCERIDES	IIG	CCCCCCCCCCCCCCCCCC(=O)O.OCCOCC(COCCO)OCCO
METHYL_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OC
ISOPROPYL_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OC(C)C
GLYCERYL_TRISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
DISTEAROYLPHOSPHATIDYLCHOLINE,_DL-	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
GLYCERYL_MONOSTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO
GLYCERYL_DISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCC
SORBITAN_MONOSTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O
SORBITAN_TRISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)[C@H]1OC[C@@H](O)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCC
BUTYL_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCCC
POLYOXYL_40_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCO
GLYCOL_DISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC
PEG-2_STEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)OCCOCCO
1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE	IIG	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
SUCROSE_DISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@]1(OC(=O)CCCCCCCCCCCCCCCCC)[C@@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O
METHYL_GLUCOSE_SESQUISTEARATE	IIG	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].COC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.COC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
